Date	Price	Open	High	Low	Change
3/9/2007	1.3116	1.3136	1.3159	1.3086	-0.16%
3/12/2007	1.3186	1.3125	1.32	1.3109	0.53%
3/13/2007	1.3185	1.3187	1.3221	1.3155	-0.01%
3/14/2007	1.3232	1.3186	1.3244	1.3175	0.36%
3/15/2007	1.328	1.3231	1.3281	1.3193	0.36%
3/16/2007	1.3316	1.3281	1.3338	1.3273	0.27%
3/19/2007	1.3311	1.3316	1.3324	1.328	-0.04%
3/20/2007	1.3315	1.331	1.3323	1.3268	0.03%
3/21/2007	1.3396	1.3314	1.341	1.3288	0.61%
3/22/2007	1.3331	1.3397	1.3401	1.331	-0.49%
3/23/2007	1.3282	1.3332	1.3342	1.3281	-0.37%
3/26/2007	1.3331	1.3264	1.3346	1.3253	0.37%
3/27/2007	1.3361	1.333	1.3368	1.3323	0.23%
3/28/2007	1.3312	1.336	1.3372	1.3308	-0.37%
3/29/2007	1.3333	1.3311	1.3353	1.3301	0.16%
3/30/2007	1.3354	1.3335	1.3399	1.3287	0.16%
4/2/2007	1.3372	1.3353	1.3382	1.3331	0.13%
4/3/2007	1.3323	1.3371	1.338	1.3318	-0.37%
4/4/2007	1.3374	1.3322	1.338	1.3321	0.38%
4/5/2007	1.3424	1.3372	1.3439	1.3353	0.37%
4/6/2007	1.3378	1.3423	1.3428	1.3364	-0.34%
4/9/2007	1.3353	1.3368	1.3381	1.3339	-0.19%
4/10/2007	1.3429	1.3357	1.3453	1.3349	0.57%
4/11/2007	1.3435	1.3428	1.3441	1.3406	0.04%
4/12/2007	1.3486	1.3436	1.3505	1.3432	0.38%
4/13/2007	1.3527	1.3485	1.3552	1.3482	0.30%
4/16/2007	1.3527	1.3567	1.357	1.3525	0.00%
4/17/2007	1.3572	1.3526	1.3594	1.3525	0.33%
4/18/2007	1.3614	1.3571	1.3619	1.3555	0.31%
4/19/2007	1.3624	1.3613	1.3628	1.356	0.07%
4/20/2007	1.359	1.3625	1.3636	1.3585	-0.25%
4/23/2007	1.3579	1.3598	1.3602	1.3541	-0.08%
4/24/2007	1.3634	1.3578	1.3643	1.3547	0.41%
4/25/2007	1.3639	1.3633	1.3665	1.3621	0.04%
4/26/2007	1.3593	1.3638	1.3653	1.3584	-0.34%
4/27/2007	1.3651	1.3592	1.3681	1.3586	0.43%
4/30/2007	1.3653	1.3623	1.3678	1.3589	0.01%
5/1/2007	1.3603	1.3652	1.3671	1.359	-0.37%
5/2/2007	1.3593	1.3602	1.3612	1.356	-0.07%
5/3/2007	1.3552	1.3594	1.3622	1.3546	-0.30%
5/4/2007	1.3591	1.3553	1.3609	1.3535	0.29%
5/7/2007	1.3597	1.3594	1.3627	1.3591	0.04%
5/8/2007	1.3539	1.3599	1.362	1.3515	-0.43%
5/9/2007	1.3533	1.3538	1.3564	1.3519	-0.04%
5/10/2007	1.3475	1.3534	1.3563	1.3464	-0.43%
5/11/2007	1.3524	1.3476	1.3531	1.3461	0.36%
5/14/2007	1.3542	1.3541	1.3557	1.3523	0.13%
5/15/2007	1.359	1.3543	1.3608	1.3526	0.35%
5/16/2007	1.3523	1.3589	1.3609	1.3504	-0.49%
5/17/2007	1.3496	1.3521	1.3544	1.3476	-0.20%
